Experiment industrial
Running on ros_monster
Starting at 2013-04-26T20:08:04.834035
Goal name industrial.top_bin_right_01
2 seconds per run
17.1665 seconds spent to collect the data
1 planners
OMPL_right_arm[RRTkConfigDefault]
0 common properties
19 properties for each run
param_goal_bias REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
100 runs
0.10000000000000001; 0.09387091598634062; 1; 5.7146151733144208; 5.5128315803107948e-16; 0.00011635500000000001; 0.081824851781129831; 1; 14.136184608122454; 5.4911905136266039; 0.091455999999999996; 0.1054624579846859; 1; 5.7146151733144217; 0; 0.0070179999999999999; 0.020366951000000019; 1; 0.11895730600000001; 
0.20000000000000001; 0.094027035966001704; 1; 5.704630836091944; 4.9002947342880403e-16; 9.3239000000000006e-05; 0.14182653464376926; 1; 12.309320961658777; 7.4306102805228846; 0.028024; 0.10559410229325294; 1; 5.7046308360919458; 0; 0.0086269999999999993; 0.019710567000000005; 1; 0.056454806000000003; 
0.30000000000000004; 0.09405231758438308; 1; 5.7081357400407322; 2.7564157811865425e-16; 9.4146000000000003e-05; 0.075362768024206161; 1; 9.8921684478001328; 2.7766265243579666; 0.027608000000000001; 0.10556811094284058; 1; 5.7081357400407349; 0; 0.007012; 0.016454863; 1; 0.051169009000000001; 
0.40000000000000002; 0.093968920666595984; 1; 5.7171170151004489; 8.5755157641458746e-16; 9.5263000000000013e-05; 0.086800793185830116; 1; 8.7266214939211899; 2.4943780099509691; 0.033882000000000002; 0.10553397610783577; 1; 5.717117015100448; 0; 0.007221; 0.016385460000000001; 1; 0.057583723000000003; 
0.5; 0.093670588885915687; 1; 5.7124666167968066; 1.1944468406067672e-15; 9.3308000000000009e-05; 0.11736533790826797; 1; 6.5061812397817214; 1.3316037628516246; 0.021891999999999998; 0.10534938797354698; 1; 5.7124666167968066; 0; 0.0070099999999999997; 0.022226364000000005; 1; 0.051221672000000003; 
0.59999999999999998; 0.093977860078729436; 1; 5.6962959415666266; 4.5940263192548054e-16; 0.00012327; 0.078124118968844414; 1; 9.4974289410814876; 3.348293509570814; 0.018723; 0.10553733259439468; 1; 5.6962959415666266; 0; 0.0090740000000000005; 0.021889699999999998; 1; 0.049809970000000002; 
0.69999999999999996; 0.093893358933514567; 1; 5.7181397220645467; 5.2065631431500697e-16; 9.4775e-05; 0.0938184733192126; 1; 5.7181397220645476; 5.9211895115532943e-16; 0.026036; 0.1054764986038208; 1; 5.7181397220645476; 0; 0.0071409999999999998; 0.015930710000000008; 1; 0.049202485000000004; 
0.79999999999999993; 0.093641668815037299; 1; 5.7233442308019402; 3.0626842017727922e-16; 9.5613000000000008e-05; 0.06016090288758278; 1; 12.705011032092521; 3.5689331923497578; 0.026877999999999999; 0.10536674037575722; 1; 5.7233442308019402; 0; 0.0071180000000000002; 0.017922890000000004; 1; 0.052014503000000004; 
0.89999999999999991; 0.093780143507595726; 1; 5.7148637673275884; 5.8190999940230782e-16; 0.000108603; 0.093890244762102767; 1; 5.7148637673275884; 2.9605947323337506e-16; 0.030152999999999999; 0.10541702806949615; 1; 5.7148637673275884; 0; 0.0078239999999999994; 0.01943470500000001; 1; 0.057520308000000006; 
0.99999999999999989; 0.073822878025196215; 1; 4.9876180957202649; 5.2632795479775183e-16; 8.7232000000000008e-05; 0.066441437229514122; 1; 4.987618095720264; 0; 0.019678000000000001; 0.082622685469686985; 1; 4.987618095720264; 0; 0.011733; 0.022129817000000003; 1; 0.053628049000000004; 
0.10000000000000001; 0.09412761161039615; 1; 5.70373046370326; 5.2065631480003238e-16; 8.9537000000000007e-05; 0.099283194169402122; 1; 10.480204926808197; 4.2102720574375105; 0.053214999999999998; 0.10562803968787193; 1; 5.70373046370326; 0; 0.0070359999999999997; 0.016639571000000006; 1; 0.076980108000000005; 
0.20000000000000001; 0.094005717285748192; 1; 5.7092503216325552; 5.5128315803107948e-16; 0.000120686; 0.075408997014164925; 1; 11.654898179634685; 4.8540134014029075; 0.033508000000000003; 0.10557227954268456; 1; 5.7092503216325534; 0; 0.0090650000000000001; 0.020481463999999998; 1; 0.063175149999999999; 
0.30000000000000004; 0.093719999594935058; 1; 5.7232301102259813; 4.5940263019775693e-16; 9.3937000000000005e-05; 0.10673509314656257; 1; 12.839963688043424; 4.3777574350616657; 0.029912999999999999; 0.10540474951267242; 1; 5.7232301102259822; 0; 0.0070210000000000003; 0.017543598000000007; 1; 0.054571535000000004; 
0.40000000000000002; 0.093716020984896301; 1; 5.6942707487434943; 5.5128315796503191e-16; 9.4216000000000007e-05; 0.093646595875422164; 1; 5.694270748743496; 2.9605947323337506e-16; 0.027269999999999999; 0.10539130493998528; 1; 5.694270748743496; 0; 0.006999; 0.019656502999999999; 1; 0.054019719000000001; 
0.5; 0.093632607367532011; 1; 5.7109111482375274; 4.9002947509047997e-16; 0.00011474900000000001; 0.10639685144027074; 1; 6.8089047435977168; 1.7685853410055936; 0.023139; 0.10535592958331108; 1; 5.7109111482375265; 0; 0.0080649999999999993; 0.019654913000000003; 1; 0.050973662000000003; 
0.59999999999999998; 0.094097620454327818; 1; 5.7230344807602567; 4.9002947248916252e-16; 9.4496000000000011e-05; 0.086441428400576115; 1; 10.159875797966603; 3.8889629566814654; 0.029068; 0.10559462755918503; 1; 5.7230344807602567; 0; 0.0070060000000000001; 0.016415772000000002; 1; 0.052584268000000003; 
