Experiment industrial
Running on ros_monster
Starting at 2013-05-01T02:55:08.797949
Goal name industrial.top_bin_right_01
60 seconds per run
24.6062 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
48 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.094126027462811304; 1; 5.689554552116487; 4.9002947509047997e-16; 9.4914000000000006e-05; 0.059691689110227993; 1; 8.5316605947293116; 4.5113679833180376; 0.193328; 0.10564443096518517; 1; 5.6895545521164879; 0; 0.0070990000000000003; 0.10310699300000001; 1; 0.303628907; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.094206352429143311; 1; 5.7054683454032942; 7.0441736873895387e-16; 9.4984000000000011e-05; 0.059118916679705889; 1; 8.6605033602128447; 1.9480259743858901; 0.19547300000000001; 0.10564228147268295; 1; 5.7054683454032959; 0; 0.0071500000000000001; 0.10145093199999999; 1; 0.30416891600000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.094106433720424251; 1; 5.7054072788893002; 4.5940263365320405e-16; 9.4705000000000009e-05; 0.055338769964873788; 1; 8.3229342798534756; 3.7509141339095167; 0.139179; 0.10559144616127014; 1; 5.7054072788893002; 0; 0.0070439999999999999; 0.104946862; 1; 0.25126456699999999; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.093907698731997918; 1; 5.7174662422817706; 7.0441736703586116e-16; 9.4495000000000009e-05; 0.081195187162269242; 1; 9.6568945858366284; 4.0246828267327963; 0.13741200000000001; 0.10551343858242035; 1; 5.7174662422817715; 0; 0.0070470000000000003; 0.095311087000000017; 1; 0.23986458200000002; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.093942327746029564; 1; 5.708298196181059; 5.5128315796503191e-16; 9.4844000000000002e-05; 0.068600337444381279; 1; 9.2896283708357483; 3.1312727204759239; 0.13997000000000001; 0.10550585761666298; 1; 5.7082981961810599; 0; 0.0070699999999999999; 0.092421458000000026; 1; 0.23955630200000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.094041107286667008; 1; 5.7147344753753124; 2.7564157984637776e-16; 9.428500000000001e-05; 0.063040978060318872; 1; 8.4894500923417038; 3.4052591781880213; 0.18723799999999999; 0.10556024312973022; 1; 5.7147344753753124; 0; 0.0070689999999999998; 0.094777949000000014; 1; 0.28917923400000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.094064956852074333; 1; 5.7152385491444377; 4.5940263365320405e-16; 9.4984000000000011e-05; 0.062648310946921512; 1; 10.535029877663597; 5.2269104503393935; 0.107887; 0.10558028891682625; 1; 5.7152385491444377; 0; 0.0070320000000000001; 0.10346610300000002; 1; 0.21848008700000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.09359029526340551; 1; 5.7166039880663861; 4.5940263019775693e-16; 9.4705000000000009e-05; 0.080209210176359527; 1; 7.3614899993499145; 1.1678980172258639; 0.174399; 0.10531817749142647; 1; 5.716603988066387; 0; 0.0070429999999999998; 0.10316367200000001; 1; 0.284700377; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.094111255016820189; 1; 5.7103272284353421; 4.2877579072098515e-16; 9.1562000000000002e-05; 0.076348755301700696; 1; 13.138850778944168; 6.6253113925033702; 0.65958899999999998; 0.10560416802763939; 1; 5.7103272284353421; 0; 0.0069969999999999997; 0.09316536300000007; 1; 0.75984292500000006; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.083866648509034095; 1; 5.3088000864814875; 6.6613381743400985e-16; 9.0584000000000012e-05; 0.066064495282868549; 1; 8.3663523420450936; 2.1180105216273897; 0.134072; 0.094075713306665421; 1; 5.3088000864814866; 0; 0.0070320000000000001; 0.095753635000000017; 1; 0.23694821900000002; 
