Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T03:25:09.290045
Goal name tabletop.tabletop_03
60 seconds per run
904.713 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
48 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.080064823628281767; 0; 10.530504205031157; 0.28279729684864202; 0.00013248900000000001; 0.085938271919363429; 0; 29.284379931140084; 4.655931355376981; 18.064238; 0.10098087191581726; 0; 10.530504205031161; 2.8751854712993974; 0.088758000000000004; 0.13514999599999972; 1; 18.288278484999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.080811000935602603; 0; 10.299963290244404; 0.097422756888599596; 1.1663e-05; 0.11196902389393042; 0; 30.549265074649103; 5.8198994530653891; 28.360506999999998; 0.080811000935602603; 0; 10.299963290244404; 0.097422756888599596; 0.22919; 0.16959501399999999; 1; 28.759303676999998; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.068727089434913874; 0; 10.29704911941648; 0.28155976023162027; 0.00012403800000000001; 0.10628211374084155; 0; 17.859410630308147; 6.1054349564655315; 3.6596850000000001; 0.074011689226608723; 0; 10.29704911941648; 1.5770126371812674; 0.069042000000000006; 0.14947553599999985; 1; 3.8783265739999999; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.076983789164646002; 0; 10.187324760662717; 0.02483139735379996; 4.0368999999999999e-05; 0.12033505212854255; 0; 22.165830256016548; 5.2714352566064751; 20.415797999999999; 0.078710599119464555; 0; 10.187324760662717; 0.02814225033430658; 0.19408700000000001; 0.14242170300000037; 1; 20.752347071999999; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.089089531652830747; 0; 8.6264489830434865; 0.32809651107672549; 0.00010029100000000001; 0.089390461395184195; 0; 14.629762765719615; 5.6947812139129796; 22.887066000000001; 0.10132728197744914; 0; 8.6264489830434865; 1.6495392637812958; 0.088977000000000001; 0.14889258599999761; 1; 23.125035876999998; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.081051729309062168; 0; 8.350349380403804; 0.17610402430282524; 0.00010336400000000001; 0.096938742762979341; 0; 13.044386297933885; 5.8205204961249652; 2.8452470000000001; 0.10483180731534958; 0; 8.3503493804038058; 1.900778649086043; 0.053797999999999999; 0.1312249820000001; 1; 3.0303733460000002; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.077650379255770688; 0; 10.237069780931774; 0.29035389680138507; 0.00013598000000000001; 0.099727724545768323; 0; 20.315084243233379; 4.898773380312675; 31.591286; 0.10024620294570923; 0; 10.237069780931773; 3.1706240385216811; 0.079814999999999997; 0.12464949599999954; 1; 31.795886476; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.061631800293689594; 0; 11.555054040145976; 0.063672074649636201; 9.1492000000000011e-05; 0.070659260930759568; 0; 22.102450955727186; 4.4175199447088191; 22.332619000000001; 0.057202269593253731; 0; 11.555054040145977; 0.11058332252583904; 0.105868; 0.15486421900000044; 1; 22.593442711000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.092577303986291631; 0; 8.7014928994229592; 0.15587209579841393; 5.0705000000000003e-05; 0.11154566901294809; 0; 14.092998036904129; 3.556229018930344; 2.0115159999999999; 0.086338760852813723; 0; 8.7014928994229592; 0.22907313337543159; 0.112521; 0.13946843300000036; 1; 2.2635561380000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.095104033087889825; 0; 11.670188375926374; 0.065324696474924449; 0.000120686; 0.093953789512236277; 0; 23.767134765499584; 5.9029938160875206; 6.8355499999999996; 0.088957583463257731; 0; 11.670188375926378; 0.23165696380589479; 0.13514799999999999; 0.12790259500000087; 1; 7.0987212810000004; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.061091244004533758; 0; 10.369460597930928; 0.38335325046836483; 0.00012103500000000001; 0.10399327173151753; 0; 22.733436148414263; 5.8153253571243946; 8.835763; 0.09016320928931236; 0; 10.369460597930924; 3.1957835767679841; 0.063590999999999995; 0.1145711649999992; 1; 9.0140461999999992; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.069638997805085173; 0; 11.782578113418907; 0.068263259624503095; 5.5943000000000003e-05; 0.12168475297781137; 0; 26.522311253316932; 5.7616381099529308; 8.8116789999999998; 0.06913001618166971; 0; 11.782578113418907; 0.079729280349350534; 0.28170699999999999; 0.13742121099999988; 1; 9.2308631539999997; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.073697898684799465; 0; 8.2265863083070272; 0.11946405299888656; 5.0286000000000006e-05; 0.10866678417052912; 0; 22.86011303931793; 6.3484236635314915; 26.755694999999999; 0.06694141268264503; 0; 8.226586308307029; 0.18241993246377292; 0.11916300000000001; 0.12497452499999974; 1; 26.999882810999999; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.075713405051292523; 0; 8.6695139500659408; 0.19885810150636471; 0.000111816; 0.095352682188667104; 0; 21.896809525112879; 5.084065044746426; 26.707557999999999; 0.10048330128192902; 0; 8.6695139500659408; 2.1988131088588689; 0.081409999999999996; 0.13738583400000204; 1; 26.926465650000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10453094574040733; 0; 10.87202628549978; 0.2653208443663248; 0.000137448; 0.11209704334798612; 0; 18.440226218148993; 5.6535041255227272; 10.509804000000001; 0.10046581942588091; 0; 10.872026285499778; 3.1709683693441342; 0.073342000000000004; 0.16879822399999836; 1; 10.752081671999999; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.070210992898200708; 0; 13.546989682588475; 0.12297496541923693; 0.00013151100000000001; 0.073648223517144604; 0; 31.449772117571424; 5.8185048154127852; 40.805289000000002; 0.061981023456901312; 0; 13.546989682588475; 0.3271925745193886; 0.133436; 0.14737533599999861; 1; 41.086231847000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.073514258740721525; 0; 8.4328023215412742; 0.10620491507119804; 5.1054000000000003e-05; 0.074127990545497999; 0; 12.741798940245115; 4.5420958771114499; 8.1331039999999994; 0.066651726774871356; 0; 8.4328023215412742; 0.15773672357051843; 0.10802; 0.1593689010000004; 1; 8.4005439549999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.068354191522424418; 0; 10.133081855445463; 0.20176299393173164; 5.5174000000000004e-05; 0.10241550833664158; 0; 16.608093373368192; 4.0942036839191873; 20.210042000000001; 0.06507994458220448; 0; 10.133081855445461; 0.27520874429797448; 0.17153499999999999; 0.15205852799999986; 1; 20.533690702000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.062797618967791402; 0; 9.9468804826302861; 0.15729295420418993; 3.3454000000000002e-05; 0.084567813421873486; 0; 15.933622849700994; 4.6963114173351395; 6.1428640000000003; 0.055557288115889558; 0; 9.9468804826302861; 0.17263860827289179; 0.12149600000000001; 0.15805426399999961; 1; 6.4224477179999999; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.081419145929006245; 0; 13.308263454756027; 0.037847721233338232; 0.00012257200000000002; 0.081982232358617083; 0; 25.020502370536057; 6.3717178298839103; 6.7296199999999997; 0.077098196521401402; 0; 13.308263454756016; 0.11081458852611041; 0.10437399999999999; 0.13051439500000003; 1; 6.9646309669999997; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.052356666618363995; 0; 11.870922979995084; 0.25903795708893296; 0.000115797; 0.10060757778033062; 0; 26.1726346249452; 6.318872906326054; 24.272157; 0.043309982437640428; 0; 11.870922979995084; 0.6132466755522985; 0.145542; 0.14197923399999915; 1; 24.559794030999999; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.08895121258877528; 0; 9.5948891120784179; 0.074963799217563395; 3.0451e-05; 0.09861261387252146; 0; 27.647653643250525; 5.1293492270750791; 28.651532; 0.087670152969289247; 0; 9.5948891120784161; 0.08278330725853468; 0.20150199999999999; 0.16909527899999896; 1; 29.022159729999998; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.061263755172543788; 0; 8.9887399080607864; 0.16697858437100729; 1.327e-05; 0.11307691000401973; 0; 20.187734046093382; 5.7413670742650398; 7.0176980000000002; 0.061263755172543788; 0; 8.9887399080607864; 0.16697858437100729; 0.24318699999999999; 0.16533693899999946; 1; 7.4262352089999997; 
