Experiment industrial
Running on ros_monster
Starting at 2013-05-01T10:37:49.343047
Goal name industrial.top_bin_left_01
10 seconds per run
712.316 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
160 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.04969491853433497; 1; 7.5438211261671828; 2.0898315840389639e-16; 0.00010818400000000001; 0.072192571125924587; 1; 14.586222493722921; 5.5437712614786916; 2.1435140000000001; 0.086792971938848495; 1; 7.5438211261671828; 0; 0.0079089999999999994; 0.1020100579999997; 1; 2.2535412419999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.049802839208175152; 1; 7.5416347131719377; 5.4858079153419975e-16; 0.000109442; 0.041581494815866739; 1; 12.771370791451178; 5.81632726005558; 0.74577800000000005; 0.086692962795495987; 1; 7.5416347131719359; 0; 0.0078899999999999994; 0.11427902999999998; 1; 0.86805647200000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.049737095613689983; 1; 7.5472877730406065; 1.5673736900977139e-16; 0.000106508; 0.068749047443270678; 1; 14.296870761613617; 5.0531239199392211; 5.2137609999999999; 0.086772565729916096; 1; 7.5472877730406056; 0; 0.0079000000000000008; 0.09209663600000019; 1; 5.3138641440000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.055642246415040321; 1; 7.693476552645695; 0.078374645301673179; 6.7537000000000001e-05; 0.053407226356544664; 1; 13.763277987548491; 4.1328103894199852; 2.5156930000000002; 0.036939017775961584; 1; 7.6934765526456941; 0.16135956385638547; 0.092254000000000003; 0.10268498399999981; 1; 2.710699521; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.095756171; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.075009328494262367; 1; 7.7914555159276748; 0.032431001387609876; 7.2076000000000006e-05; 0.047503189494212471; 1; 12.45757810583933; 4.4796339364432898; 9.5953320000000009; 0.068840247989796544; 1; 7.7914555159276757; 0.055803742805611921; 0.089924000000000004; 0.10264370199999842; 1; 9.7879717779999993; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.08806951; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.049505234722580227; 1; 7.5353247102688945; 5.836601045588027e-16; 5.3778000000000006e-05; 0.057681595241384845; 1; 9.9749882493702788; 3.3842050324243047; 2.85155; 0.028829614371061324; 1; 7.5353247102688945; 7.8159701255375176e-16; 0.088048000000000001; 0.10470903100000002; 1; 3.0443608090000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.049519128768759614; 1; 7.5546785007330435; 5.2245789642343905e-16; 0.000109022; 0.065168062798105747; 1; 19.128977240953368; 4.2158402872339868; 1.1720280000000001; 0.086729511618614197; 1; 7.5546785007330444; 0; 0.0080700000000000008; 0.10634415099999982; 1; 1.2865511729999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.049451204564641506; 1; 7.5421988307843106; 2.0898315840389639e-16; 0.00011035000000000001; 0.043716017814243543; 1; 11.971074593581282; 3.5293005973363614; 1.116428; 0.086790681816637516; 1; 7.5421988307843115; 0; 0.0079070000000000008; 0.099214308000000126; 1; 1.2236596580000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.049522198764059472; 1; 7.5433982537878883; 2.8735184326253887e-16; 0.000111606; 0.05641731723315186; 1; 8.0312478295986676; 1.2826581890367754; 0.455648; 0.086759378202259541; 1; 7.5433982537878883; 0; 0.0079539999999999993; 0.10623582500000006; 1; 0.56994943100000006; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.049808126244255728; 1; 7.5439424731313203; 4.9633500125273706e-16; 0.00010636800000000001; 0.073452075145074305; 1; 13.321071739100717; 3.1913246295744124; 1.1917549999999999; 0.086785449646413326; 1; 7.5439424731313203; 0; 0.0083920000000000002; 0.097685565000000071; 1; 1.297938933; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.04965241992955699; 1; 7.5300611157225728; 4.4408921233225162e-16; 0.00011523800000000001; 0.047218925474832453; 1; 11.682058405519296; 4.8735939558686079; 0.16807; 0.086704232729971409; 1; 7.5300611157225736; 0; 0.0084530000000000004; 0.10429322200000002; 1; 0.28093146000000002; 
