Experiment narrow_passage
Running on ros_monster
Starting at 2013-05-01T10:55:06.911445
Goal name narrow_passage.right_01
10 seconds per run
201.216 seconds spent to collect the data
1 planners
OMPL_arms[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
80 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.015878856182098389; 1; 13.410232180884256; 1.2500288895901275e-15; 0.00020184200000000001; 0.015878856182098389; 1; 26.532723933830908; 4.8118349763580861; 2.6884070000000002; 0.015878856182098389; 1; 13.410232180884259; 0; 0.013075; 0.13331542599999957; 1; 2.8349992679999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.015878856182098389; 1; 11.982833111213116; 9.9066054214870201e-16; 0.000153511; 0.015878856182098389; 1; 23.721847752392801; 5.7179848147486956; 1.483603; 0.015878856182098389; 1; 11.982833111213118; 0; 0.010477999999999999; 0.13714906300000002; 1; 1.631383574; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.015878856182098389; 1; 16.220721599024667; 3.1206268873181e-16; 0.00021930200000000002; 0.015878856182098389; 1; 37.216609471339744; 6.0601220462257963; 2.1792539999999998; 0.015878856182098389; 1; 16.220721599024671; 0; 0.013975; 0.15334439900000024; 1; 2.346792701; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.015878856182098389; 1; 10.505443412956748; 6.459479416000911e-16; 0.000129975; 0.015323742581087919; 1; 28.021038263898774; 4.8164288482467832; 2.075323; 0.015878856182098389; 1; 10.505443412956748; 0; 0.0096329999999999992; 0.1279626989999999; 1; 2.2130486739999999; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.015878856182098389; 1; 8.2618320399182625; 1.4958794444637338e-15; 0.00011237400000000001; 0.015878856182098389; 1; 17.098908032241173; 6.4888809234010552; 2.1309260000000001; 0.015878856182098389; 1; 8.2618320399182643; 0; 0.0096290000000000004; 0.13823464299999996; 1; 2.2789020170000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.015878856182098389; 1; 12.288505293926697; 7.5153558585563925e-16; 0.00015420900000000001; 0.015878856182098389; 1; 26.427993636179043; 5.371631425618709; 2.5464410000000002; 0.015878856182098389; 1; 12.288505293926695; 0; 0.010633; 0.13378417599999989; 1; 2.6910123850000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.015878856182098389; 1; 11.321514761048757; 4.4408921160827975e-16; 0.00014219600000000001; 0.015878856182098389; 1; 30.770309455815571; 6.6472837355585908; 2.1581250000000001; 0.015878856182098389; 1; 11.321514761048753; 0; 0.010531; 0.13945126700000002; 1; 2.3082494630000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.015878856182098389; 1; 10.35649511848831; 1.268826309113728e-15; 0.00012417800000000002; 0.015878856182098389; 1; 19.75371874403664; 5.9587001368972805; 3.2744529999999998; 0.015878856182098389; 1; 10.35649511848831; 0; 0.0096170000000000005; 0.12678524900000018; 1; 3.410979427; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.015878856182098389; 1; 13.778011932977815; 6.8093679111813062e-16; 0.00020226; 0.015878856182098389; 1; 29.800558281477826; 6.4294721512727477; 2.3993289999999998; 0.015878856182098389; 1; 13.778011932977815; 0; 0.010515; 0.13622502200000036; 1; 2.5462712820000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.015878856182098389; 1; 9.2689837592318334; 8.4143218702347994e-16; 0.00011118800000000001; 0.015878856182098389; 1; 18.122057727315806; 4.3503449687692974; 2.3668149999999999; 0.015878856182098389; 1; 9.2689837592318352; 0; 0.0095849999999999998; 0.11648649100000025; 1; 2.4929976790000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.015878856182098389; 1; 14.479803523976701; 3.7246191975369612e-16; 0.00018326400000000001; 0.015878856182098389; 1; 34.400593778528858; 6.8541255647654484; 1.889302; 0.015878856182098389; 1; 14.479803523976699; 0; 0.009672; 0.13647589699999976; 1; 2.0356331609999998; 
