Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T12:52:47.186730
Goal name tabletop.tabletop_06
10 seconds per run
320.511 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
480 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.1035578420216387; 0; 7.4133922434241883; 1.9109293222422963e-15; 0.00011146700000000001; 0.088982664048671722; 0; 17.136988622596686; 7.3902573595314127; 0.63459900000000002; 0.11418809369206429; 0; 7.4133922434241875; 0; 0.0066400000000000001; 0.12377839500000004; 1; 0.76512886200000008; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.093346805311739445; 0; 7.2291791044769207; 1.2335811384723962e-16; 0.00011852000000000001; 0.081837992866834006; 0; 10.738331813619801; 5.211925053491389; 0.270708; 0.097732629626989365; 0; 7.2291791044769198; 0; 0.0069329999999999999; 0.11841041000000001; 1; 0.39616993; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.094005340089400605; 0; 7.2449150706511203; 1.7270135938613546e-16; 0.00011991700000000001; 0.072114004354391775; 0; 12.403341454857422; 6.2410858798671525; 0.29767500000000002; 0.098865676671266556; 0; 7.2449150706511185; 0; 0.0069839999999999998; 0.13172309900000004; 1; 0.43650201600000005; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10251001223470226; 0; 7.4118552267400792; 1.10349440223992e-15; 0.00010937100000000001; 0.070560998928088411; 0; 12.530183469345722; 4.8008086710915441; 0.29274299999999998; 0.11292888596653938; 0; 7.4118552267400792; 0; 0.0061040000000000001; 0.11617840500000007; 1; 0.41513477600000004; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.081562726170216732; 0; 7.3661842343522093; 4.6746232985947059e-17; 0.00012543500000000002; 0.064070902078559519; 0; 18.494795075153963; 4.8739062549355872; 0.58022099999999999; 0.083269947208464146; 0; 7.3661842343522101; 0; 0.0077999999999999996; 0.12711393300000004; 1; 0.71526036800000004; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10728327817086017; 0; 7.8219076264496374; 0; 0.000114679; 0.082987317267586208; 0; 12.472505458148476; 4.6594852968389446; 0.52339899999999995; 0.1229306161403656; 0; 7.8219076264496374; 0; 0.006365; 0.11799253300000014; 1; 0.64787121200000009; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.081325403708768521; 0; 7.3722429033833361; 1.4023869895784118e-16; 0.00012662200000000001; 0.073678901552089629; 0; 14.012399900039794; 6.2112099047220761; 0.16666; 0.083019436337053776; 0; 7.3722429033833379; 0; 0.0078079999999999998; 0.11853762900000001; 1; 0.29313225100000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.096261594976697645; 0; 7.241270763473354; 1.0150610510858574e-16; 0.0001144; 0.080888163298368454; 0; 18.906461307246111; 6.6108507131203043; 0.53621300000000005; 0.10176489502191544; 0; 7.241270763473354; 0; 0.006966; 0.11805166399999999; 1; 0.66134506400000004; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.094154411873647148; 0; 7.2118113755557687; 2.0301220912745176e-15; 0.00011817200000000001; 0.075052818969676374; 0; 13.589794356910831; 5.3653677062387999; 0.24225099999999999; 0.098935903981328011; 0; 7.2118113755557678; 0; 0.0069829999999999996; 0.13182513900000004; 1; 0.38117731100000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10361490579265537; 0; 7.4593694972558273; 1.0765799026668185e-16; 0.00010958100000000001; 0.095947307534515858; 0; 11.118134008896963; 4.9142578849135514; 0.267038; 0.11458117142319679; 0; 7.45936949725583; 0; 0.0060879999999999997; 0.12049905900000003; 1; 0.39373464000000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10813135157028834; 0; 7.8892517466913397; 0; 0.00010818400000000001; 0.086464090272784233; 0; 11.811092717705524; 5.343466571934214; 0.72126500000000004; 0.12504377216100693; 0; 7.8892517466913388; 0; 0.0060740000000000004; 0.12275170900000003; 1; 0.85019889300000007; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.099743911448646999; 0; 7.2900502974740222; 7.8368684091187526e-17; 0.000114121; 0.080255347896705978; 0; 10.326438531823694; 4.5090518127578072; 0.40729500000000002; 0.10747285932302475; 0; 7.2900502974740222; 0; 0.0069249999999999997; 0.131789516; 1; 0.546123637; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10660440516140726; 0; 8.3048628787321146; 4.9343245538895844e-17; 0.00011705400000000001; 0.083162193070165813; 0; 15.676645546362408; 4.0275646372432989; 1.0878239999999999; 0.12133446708321571; 0; 8.3048628787321164; 0; 0.007744; 0.12162288700000015; 1; 1.2173079410000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10013794898986816; 0; 7.2831116083983796; 3.0041328918433502e-15; 0.00011335300000000001; 0.086802766720453894; 0; 11.326581010585761; 5.9403114119430365; 0.31775900000000001; 0.10811209678649902; 0; 7.2831116083983787; 0; 0.0069410000000000001; 0.11619552200000001; 1; 0.44100887500000002; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.099339234040063965; 0; 7.304830447305994; 7.8368684091187526e-17; 0.00011286400000000001; 0.084373397204805828; 0; 16.493306910182678; 4.0517027967105408; 0.56208599999999997; 0.1068088673055172; 0; 7.3048304473059957; 0; 0.0069560000000000004; 0.11914565100000002; 1; 0.688300515; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10619341852990064; 0; 7.6714108715138645; 1.6148698540002277e-16; 0.000109511; 0.079939592629671097; 0; 11.847788323398765; 3.9001064954863893; 0.52004300000000003; 0.11986964195966721; 0; 7.6714108715138618; 0; 0.0060949999999999997; 0.116625928; 1; 0.64287343900000005; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10361000308484743; 0; 7.4660288179165262; 1.9109293300238096e-15; 0.000108114; 0.066397606879472729; 0; 18.337488026684341; 4.7942109045484944; 0.56252800000000003; 0.11469561606645584; 0; 7.4660288179165288; 0; 0.0061330000000000004; 0.12341583699999996; 1; 0.69218495099999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10661647355917728; 0; 7.7479723338663273; 0; 0.00010818500000000001; 0.09039577301591635; 0; 14.859748244558473; 5.0885588101268828; 0.96692199999999995; 0.12146591767668724; 0; 7.7479723338663282; 0; 0.006156; 0.12980365900000015; 1; 1.1029898440000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.095933688964162558; 0; 7.2267919024750134; 1.5225915766287861e-16; 0.0001188; 0.067848189519001886; 0; 12.837541610128454; 4.4265780864065833; 0.20700099999999999; 0.10129968076944351; 0; 7.2267919024750134; 0; 0.0070899999999999999; 0.12024865200000003; 1; 0.33445845200000002; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10823816323981565; 0; 7.9730903264816311; 1.3061447348531254e-16; 0.000114191; 0.088973394595086575; 0; 17.378013131546957; 5.0983925306003997; 0.27277800000000002; 0.12624167650938034; 0; 7.9730903264816329; 0; 0.0061780000000000003; 0.11273564200000002; 1; 0.39180583300000005; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10757354082483234; 0; 7.8368536679824743; 8.3434941827328923e-16; 0.00011174600000000001; 0.081920581714560584; 0; 12.106050385566883; 3.1580630132268972; 0.33771800000000002; 0.12363776564598083; 0; 7.8368536679824752; 0; 0.0061529999999999996; 0.11375856599999999; 1; 0.45774131200000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10299045615123981; 0; 7.3963275481761892; 2.6914497566670462e-17; 0.00010993000000000001; 0.075904227296511334; 0; 10.623140001590304; 2.3526845877865052; 0.38585700000000001; 0.11339793354272842; 0; 7.3963275481761892; 0; 0.0065979999999999997; 0.13008826900000006; 1; 0.52265319900000007; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10125023893573705; 0; 7.3085943457824207; 9.6654710379131267e-16; 0.00011426000000000001; 0.0880985048909982; 0; 18.200903385822503; 5.0530276282842328; 0.53160799999999997; 0.11039537936449051; 0; 7.3085943457824198; 0; 0.0061989999999999996; 0.11515438800000009; 1; 0.65307564800000006; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10370413936448819; 0; 7.4399696691736947; 8.0743492700011387e-17; 0.00010895300000000001; 0.078291548219950574; 0; 14.088179795291957; 5.9627593612499741; 0.211865; 0.11461581289768219; 0; 7.4399696691736938; 0; 0.0061040000000000001; 0.12729920700000003; 1; 0.34537716000000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10622356786872401; 0; 7.6417584964248135; 2.7721932510273367e-15; 0.00010958100000000001; 0.098660431092693693; 0; 15.612747354808004; 6.389973039771645; 0.57249300000000003; 0.11969788745045662; 0; 7.6417584964248126; 0; 0.0060809999999999996; 0.12098010900000003; 1; 0.69966369000000006; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10255294902758165; 0; 7.3934230940439125; 8.0743492700011387e-17; 0.00011007000000000001; 0.091495942324399948; 0; 11.71391713711327; 4.868660530010791; 0.84831599999999996; 0.11297241225838661; 0; 7.3934230940439107; 0; 0.0060540000000000004; 0.12491263000000015; 1; 0.97939270000000012; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.093043297839661435; 0; 7.2354995831611193; 1.060879780851846e-15; 0.000119987; 0.064386314109844314; 0; 16.976643059405085; 6.3409098009404294; 0.68454199999999998; 0.097306178882718086; 0; 7.2354995831611175; 0; 0.0069420000000000003; 0.11831541400000005; 1; 0.80991940100000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10177364529055707; 0; 7.3714535043873965; 2.6122894697062506e-17; 0.00011321200000000001; 0.067066734799971953; 0; 12.621427851266416; 5.5220097215426227; 0.75415299999999996; 0.11183746159076691; 0; 7.3714535043873957; 0; 0.0060280000000000004; 0.12041743200000005; 1; 0.88071164400000002; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10298209208430666; 0; 7.4199068025943626; 1.0496654071065791e-15; 0.00011461; 0.088567250097791358; 0; 10.295400779174324; 4.4154263169831962; 0.17036499999999999; 0.11353851854801178; 0; 7.4199068025943617; 0; 0.006051; 0.11553711500000001; 1; 0.292067725; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10204445154351346; 0; 7.4038945177751536; 1.0449157878825003e-16; 0.00011405100000000001; 0.079344065369744046; 0; 14.108934224789444; 4.4061104015360346; 0.404393; 0.11231923848390579; 0; 7.4038945177751536; 0; 0.0060439999999999999; 0.12885867700000009; 1; 0.53940972800000009; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.094539051290069301; 0; 7.2198521473230528; 1.0150610510858574e-16; 0.00011866000000000001; 0.11285647625724475; 0; 14.196986311667573; 4.3765258531374638; 0.58788899999999999; 0.099503898993134499; 0; 7.219852147323051; 0; 0.006966; 0.11579759299999999; 1; 0.71077125299999999; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.099840309032622504; 0; 7.2808821932789645; 2.6122894697062506e-17; 0.00011405000000000001; 0.073350430362754404; 0; 13.192514456757973; 4.4615965442964871; 0.29053299999999999; 0.10765468701720238; 0; 7.2808821932789645; 0; 0.006914; 0.11834973200000004; 1; 0.41591078200000003; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10258512289235086; 0; 7.4189366196825333; 8.0743492700011387e-17; 0.00010916200000000001; 0.093916756265303672; 0; 12.409878716850461; 5.3298948393502954; 0.54722499999999996; 0.11307800933718681; 0; 7.4189366196825315; 0; 0.0060730000000000003; 0.11750259500000004; 1; 0.670909757; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10437134088891925; 0; 7.516337253285827; 0; 0.000110209; 0.10088705975148413; 0; 13.103579728017033; 5.5029618181868019; 0.50536899999999996; 0.11619904637336731; 0; 7.5163372532858261; 0; 0.0060520000000000001; 0.12326145500000005; 1; 0.63479266400000001; 
